polling_firm	variable	value	date	wikidata_id
Crespi	PdL	40	2008-12-19	Q47720
Demos&Pi	PdL	37.6	2008-12-19	Q47720
Ipsos	PdL	37.2	2008-12-15	Q47720
Piepoli	PdL	42	2008-12-07	Q47720
GfK Eurisko	PdL	39.4	2008-12-07	Q47720
IPR	PdL	39	2008-12-04	Q47720
Piepoli	PdL	41.5	2008-12-01	Q47720
Piepoli	PdL	41	2008-11-24	Q47720
Piepoli	PdL	41	2008-11-17	Q47720
Piepoli	PdL	41	2008-11-10	Q47720
Piepoli	PdL	42	2008-11-03	Q47720
Ipsos	PdL	35.1	2008-11-03	Q47720
Piepoli	PdL	41.5	2008-10-27	Q47720
Euromedia	PdL	40.1	2008-10-25	Q47720
Piepoli	PdL	42	2008-10-20	Q47720
Piepoli	PdL	41.5	2008-10-13	Q47720
Euromedia	PdL	42.7	2008-10-11	Q47720
Piepoli	PdL	42.5	2008-10-06	Q47720
Coesis	PdL	41	2008-10-05	Q47720
Digis	PdL	40.5	2008-10-04	Q47720
Pareto	PdL	39.8	2008-09-30	Q47720
Piepoli	PdL	42	2008-09-29	Q47720
Ipsos	PdL	36.6	2008-09-29	Q47720
Digis	PdL	40.7	2008-09-27	Q47720
Piepoli	PdL	42	2008-09-22	Q47720
Digis	PdL	40.2	2008-09-20	Q47720
Piepoli	PdL	42	2008-09-15	Q47720
Digis	PdL	41.5	2008-09-13	Q47720
Ipsos	PdL	37.2	2008-09-08	Q47720
Euromedia	PdL	42	2008-09-06	Q47720
Dinamiche	PdL	39.6	2008-09-04	Q47720
Piepoli	PdL	42	2008-09-01	Q47720
Crespi	PdL	42	2008-09-01	Q47720
Piepoli	PdL	42	2008-08-04	Q47720
Euromedia	PdL	41.4	2008-07-31	Q47720
Crespi	PdL	40	2008-07-28	Q47720
PoliticaLink	PdL	40.2	2008-07-28	Q47720
Digis	PdL	40.4	2008-07-26	Q47720
Digis	PdL	41.2	2008-07-19	Q47720
Digis	PdL	42.2	2008-07-12	Q47720
Piepoli	PdL	41.5	2008-07-07	Q47720
Digis	PdL	41.8	2008-07-05	Q47720
Dinamiche	PdL	40.1	2008-07-04	Q47720
Crespi	PdL	40	2008-07-04	Q47720
Piepoli	PdL	41.5	2008-06-30	Q47720
Euromedia	PdL	39.8	2008-06-27	Q47720
ISPO	PdL	44.6	2008-06-25	Q47720
Crespi	PD	27.5	2008-12-19	Q47729
Demos&Pi	PD	27.5	2008-12-19	Q47729
Ipsos	PD	27.1	2008-12-15	Q47729
Piepoli	PD	33.5	2008-12-07	Q47729
GfK Eurisko	PD	29.5	2008-12-07	Q47729
IPR	PD	28	2008-12-04	Q47729
Piepoli	PD	34	2008-12-01	Q47729
Piepoli	PD	34	2008-11-24	Q47729
Piepoli	PD	34	2008-11-17	Q47729
Piepoli	PD	34	2008-11-10	Q47729
Piepoli	PD	31.3	2008-11-03	Q47729
Ipsos	PD	30.9	2008-11-03	Q47729
Piepoli	PD	32.5	2008-10-27	Q47729
Euromedia	PD	29.8	2008-10-25	Q47729
Piepoli	PD	33	2008-10-20	Q47729
Piepoli	PD	32.5	2008-10-13	Q47729
Euromedia	PD	28.8	2008-10-11	Q47729
Piepoli	PD	32	2008-10-06	Q47729
Coesis	PD	28	2008-10-05	Q47729
Digis	PD	29	2008-10-04	Q47729
Pareto	PD	27.8	2008-09-30	Q47729
Piepoli	PD	31	2008-09-29	Q47729
Ipsos	PD	29.2	2008-09-29	Q47729
Digis	PD	28.2	2008-09-27	Q47729
Piepoli	PD	32	2008-09-22	Q47729
Digis	PD	28	2008-09-20	Q47729
Piepoli	PD	32	2008-09-15	Q47729
Digis	PD	28	2008-09-13	Q47729
Ipsos	PD	29	2008-09-08	Q47729
Euromedia	PD	28.1	2008-09-06	Q47729
Dinamiche	PD	28.7	2008-09-04	Q47729
Piepoli	PD	31.5	2008-09-01	Q47729
Crespi	PD	28	2008-09-01	Q47729
Piepoli	PD	31.5	2008-08-04	Q47729
Euromedia	PD	29.1	2008-07-31	Q47729
Crespi	PD	29	2008-07-28	Q47729
PoliticaLink	PD	29.6	2008-07-28	Q47729
Digis	PD	28.9	2008-07-26	Q47729
Digis	PD	28.9	2008-07-19	Q47729
Digis	PD	28.1	2008-07-12	Q47729
Piepoli	PD	32	2008-07-07	Q47729
Digis	PD	28.2	2008-07-05	Q47729
Dinamiche	PD	30	2008-07-04	Q47729
Crespi	PD	30	2008-07-04	Q47729
Piepoli	PD	32	2008-06-30	Q47729
Euromedia	PD	30.1	2008-06-27	Q47729
ISPO	PD	28	2008-06-25	Q47729
Crespi	LN	11.5	2008-12-19	Q47750
Demos&Pi	LN	9.7	2008-12-19	Q47750
Ipsos	LN	10.8	2008-12-15	Q47750
Piepoli	LN	9.5	2008-12-07	Q47750
GfK Eurisko	LN	8.2	2008-12-07	Q47750
IPR	LN	7.5	2008-12-04	Q47750
Piepoli	LN	9.5	2008-12-01	Q47750
Piepoli	LN	9.5	2008-11-24	Q47750
Piepoli	LN	9.5	2008-11-17	Q47750
Piepoli	LN	9	2008-11-10	Q47750
Piepoli	LN	8	2008-11-03	Q47750
Ipsos	LN	10	2008-11-03	Q47750
Piepoli	LN	9	2008-10-27	Q47750
Euromedia	LN	9.5	2008-10-25	Q47750
Piepoli	LN	8.5	2008-10-20	Q47750
Piepoli	LN	9	2008-10-13	Q47750
Euromedia	LN	9.3	2008-10-11	Q47750
Piepoli	LN	8.5	2008-10-06	Q47750
Coesis	LN	9	2008-10-05	Q47750
Digis	LN	9.2	2008-10-04	Q47750
Pareto	LN	8.8	2008-09-30	Q47750
Piepoli	LN	9	2008-09-29	Q47750
Ipsos	LN	10.5	2008-09-29	Q47750
Digis	LN	9.3	2008-09-27	Q47750
Piepoli	LN	9	2008-09-22	Q47750
Digis	LN	9.5	2008-09-20	Q47750
Piepoli	LN	9	2008-09-15	Q47750
Digis	LN	9	2008-09-13	Q47750
Ipsos	LN	10.3	2008-09-08	Q47750
Euromedia	LN	9	2008-09-06	Q47750
Dinamiche	LN	9.1	2008-09-04	Q47750
Piepoli	LN	9	2008-09-01	Q47750
Crespi	LN	9	2008-09-01	Q47750
Piepoli	LN	9	2008-08-04	Q47750
Euromedia	LN	9	2008-07-31	Q47750
Crespi	LN	9	2008-07-28	Q47750
PoliticaLink	LN	9	2008-07-28	Q47750
Digis	LN	8.4	2008-07-26	Q47750
Digis	LN	8	2008-07-19	Q47750
Digis	LN	7.5	2008-07-12	Q47750
Piepoli	LN	8.5	2008-07-07	Q47750
Digis	LN	7.5	2008-07-05	Q47750
Dinamiche	LN	8.7	2008-07-04	Q47750
Crespi	LN	10	2008-07-04	Q47750
Piepoli	LN	8.5	2008-06-30	Q47750
Euromedia	LN	8.3	2008-06-27	Q47750
ISPO	LN	7.8	2008-06-25	Q47750
Crespi	UdC	5	2008-12-19	Q47781
Demos&Pi	UdC	5.6	2008-12-19	Q47781
Ipsos	UdC	6.1	2008-12-15	Q47781
Piepoli	UdC	4.5	2008-12-07	Q47781
GfK Eurisko	UdC	5	2008-12-07	Q47781
IPR	UdC	4	2008-12-04	Q47781
